id,parent_id,name
1,,Technic
3,1.0,Competition
4,1.0,Expert Builder
16,1.0,RoboRiders
17,1.0,Speed Slammers
18,1.0,Star Wars
19,1.0,Supplemental
20,1.0,Throwbot Slizer
21,1.0,Universal Building Set
22,,Creator
34,,Make & Create
35,34.0,Bricks & More
50,,Town
51,50.0,Arctic
52,,City
53,52.0,Airport
54,52.0,Cargo
55,52.0,Coast Guard
56,52.0,Construction
57,52.0,Farm
58,52.0,Fire
59,52.0,Harbor
60,52.0,Hospital
61,52.0,Police
63,52.0,Traffic
64,52.0,Off-Road
65,52.0,Arctic
66,52.0,Trains
67,50.0,Classic Town
86,50.0,Divers
87,50.0,Extreme Team
88,50.0,Launch Command
89,50.0,Outback
90,50.0,Paradisa
91,50.0,Race
92,50.0,Res-Q
93,50.0,Space Port
94,50.0,Town Jr.
104,50.0,Town Plan
105,50.0,World City
106,50.0,City Center
112,,Racers
114,112.0,Ferrari
118,112.0,Promotional
122,112.0,RC
123,112.0,World Racers
126,,Space
127,126.0,Alien Conquest
128,126.0,Blacktron I
129,126.0,Blacktron II
130,126.0,Classic Space
131,126.0,Exploriens
132,126.0,Futuron
133,126.0,Ice Planet 2002
134,126.0,Insectoids
135,126.0,Life On Mars
136,126.0,M:Tron
137,126.0,Mars Mission
138,126.0,RoboForce
139,126.0,Space Police I
140,126.0,Space Police II
141,126.0,Space Police III
142,126.0,Spyrius
143,126.0,Supplemental
144,126.0,UFO
145,126.0,Unitron
146,126.0,Galaxy Squad
147,,Pirates
148,147.0,Pirates I
153,147.0,Pirates II
154,147.0,Pirates III
155,,Modular Buildings
156,155.0,Mini
157,598.0,Bricktober
158,,Star Wars
171,158.0,Ultimate Collector Series
186,,Castle
187,186.0,Black Falcons
188,186.0,Black Knights
189,186.0,Classic Castle
190,186.0,Dragon Knights
191,186.0,Dark Forest
193,186.0,Fantasy Era
194,186.0,Forestmen
195,186.0,Fright Knights
196,186.0,Kingdoms
197,186.0,Knights Kingdom I
198,186.0,Knights Kingdom II
199,186.0,Lion Knights
201,186.0,Royal Knights
203,186.0,Wolfpack
204,22.0,Designer Sets
206,,Seasonal
207,206.0,Advent
208,207.0,City
209,207.0,Star Wars
210,207.0,Belville
211,207.0,Castle
212,207.0,Classic Basic
213,207.0,Clikits
214,207.0,Creator
215,207.0,Pirates
216,207.0,Friends
227,206.0,Christmas
228,227.0,Creator
229,206.0,Easter
230,206.0,Halloween
231,206.0,Thanksgiving
232,206.0,Valentine
233,,Train
234,233.0,12V
235,233.0,4.5V
236,233.0,9V
240,233.0,RC Train
241,233.0,Supplemental
246,,Harry Potter
252,,Architecture
